host_id,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
64433748.0,-74.00074,2.0,1.0,1.0,208.0,65
190921808.0,-73.99558,0.0,7.0,47.0,354.0,55
158920456.0,-73.9255,0.0,1.0,1.0,184.0,40
253504649.0,-73.95212,1.0,5.0,1.0,146.0,289
224696045.0,-73.95659,1.0,2.0,1.0,276.0,110
22593050.0,-73.9612,1.0,1.0,1.0,288.0,59
224480214.0,-73.99061,1.0,1.0,1.0,269.0,308
270874051.0,-73.93428,0.0,1.0,8.0,359.0,139
171482981.0,-73.90982,0.0,2.0,1.0,21.0,65
120875818.0,-73.92518,0.0,1.0,2.0,167.0,60
37084362.0,-73.94097,0.0,3.0,1.0,0.0,101
157422070.0,-73.97294,1.0,5.0,1.0,19.0,175
134184451.0,-73.81418,0.0,1.0,18.0,355.0,135
1631400.0,-74.00608,1.0,14.0,1.0,155.0,199
15185319.0,-73.94482,0.0,1.0,1.0,288.0,95
206260220.0,-73.85755,0.0,1.0,1.0,315.0,60
3286195.0,-73.94621,0.0,1.0,1.0,109.0,75
2787.0,-73.97541,0.0,1.0,6.0,180.0,149
24770709.0,-73.95262,0.0,1.0,1.0,0.0,50
155109689.0,-73.95197,1.0,2.0,2.0,281.0,172
3991905.0,-73.98714,1.0,3.0,1.0,0.0,250
502563.0,-73.98496,0.0,3.0,2.0,43.0,150
27260699.0,-73.90785,2.0,1.0,4.0,41.0,28
13143585.0,-73.92612,1.0,2.0,2.0,0.0,250
46672441.0,-73.82191,0.0,3.0,1.0,90.0,70
22565253.0,-74.03047,0.0,3.0,4.0,211.0,30
90771408.0,-73.99172,0.0,1.0,1.0,297.0,70
270327975.0,-73.9664,0.0,1.0,2.0,17.0,250
11581619.0,-73.92795,1.0,2.0,1.0,269.0,100
92324633.0,-73.93454,0.0,2.0,1.0,32.0,100
145727343.0,-73.79162,0.0,1.0,3.0,139.0,33
223418394.0,-73.93866,1.0,1.0,1.0,170.0,90
161900946.0,-74.01665,1.0,2.0,1.0,0.0,105
214287.0,-73.99999,1.0,3.0,1.0,0.0,125
5144567.0,-74.00519,0.0,7.0,13.0,358.0,169
58403098.0,-73.92756,0.0,2.0,3.0,98.0,65
7275333.0,-73.97336,0.0,2.0,1.0,33.0,133
17592183.0,-73.96134,1.0,5.0,1.0,0.0,150
51913826.0,-73.99345,0.0,1.0,8.0,0.0,94
141426597.0,-73.93364,0.0,3.0,3.0,180.0,105
17473615.0,-73.99706,0.0,1.0,1.0,0.0,130
4275336.0,-73.98811,1.0,1.0,1.0,0.0,190
32865595.0,-73.96257,0.0,1.0,3.0,337.0,53
25344446.0,-73.97538,0.0,5.0,2.0,292.0,125
50601648.0,-73.92037,0.0,3.0,1.0,139.0,68
5024128.0,-73.91652,0.0,2.0,1.0,319.0,70
41140356.0,-73.98069,1.0,7.0,1.0,326.0,195
47013708.0,-73.96276,0.0,3.0,1.0,0.0,45
27131793.0,-73.89329,0.0,1.0,1.0,0.0,46
78913808.0,-73.94896,1.0,3.0,1.0,165.0,125
6556741.0,-73.95667,0.0,3.0,4.0,31.0,65
41311743.0,-73.94813,0.0,3.0,2.0,0.0,97
152885643.0,-73.95101,1.0,4.0,1.0,0.0,128
9503685.0,-73.9435,0.0,2.0,2.0,0.0,95
7920086.0,-73.944,0.0,11.0,3.0,0.0,75
85852354.0,-73.9871,0.0,2.0,1.0,0.0,85
33736005.0,-73.92163,2.0,1.0,2.0,0.0,50
11082833.0,-73.92354,1.0,2.0,1.0,0.0,80
9572607.0,-73.98915,0.0,1.0,3.0,17.0,71
60085031.0,-73.97306,1.0,2.0,1.0,0.0,125
1856604.0,-73.94633,1.0,3.0,1.0,247.0,295
110965771.0,-73.82388,0.0,2.0,7.0,57.0,45
44706272.0,-73.955,0.0,3.0,1.0,0.0,45
1250061.0,-73.96963,1.0,3.0,1.0,12.0,260
9235481.0,-73.93197,2.0,2.0,2.0,0.0,45
20555097.0,-73.92695,0.0,5.0,2.0,71.0,90
315918.0,-73.96089,0.0,3.0,1.0,90.0,100
43803591.0,-74.03598,1.0,5.0,1.0,151.0,135
84720132.0,-73.99493,1.0,4.0,1.0,5.0,300
228858.0,-73.98602,1.0,9.0,2.0,1.0,295
85495151.0,-74.03277,0.0,3.0,1.0,38.0,60
44630233.0,-73.92776,0.0,1.0,1.0,1.0,20
139957134.0,-73.80029,0.0,1.0,3.0,348.0,35
3189999.0,-73.94962,1.0,5.0,1.0,0.0,99
18458368.0,-73.95522,1.0,1.0,1.0,0.0,110
67376966.0,-73.85736,0.0,1.0,3.0,188.0,88
48243500.0,-73.96565,1.0,2.0,1.0,0.0,107
110539055.0,-73.85366,1.0,2.0,2.0,298.0,87
65929049.0,-73.98444,1.0,5.0,1.0,343.0,799
4372934.0,-73.83875,1.0,2.0,1.0,361.0,400
1312063.0,-74.0021,0.0,1.0,1.0,203.0,200
147972663.0,-73.93855,0.0,3.0,3.0,306.0,40
92963604.0,-73.9675,0.0,3.0,1.0,45.0,100
42048980.0,-73.91401,0.0,1.0,1.0,0.0,100
3859890.0,-73.9874,0.0,1.0,1.0,0.0,53
83627325.0,-73.9179,1.0,1.0,4.0,365.0,249
25517905.0,-73.96225,0.0,1.0,3.0,251.0,99
259229690.0,-73.89382,1.0,1.0,4.0,75.0,179
105640471.0,-74.01628,0.0,1.0,8.0,130.0,51
104960784.0,-73.90447,0.0,3.0,1.0,0.0,50
205031545.0,-73.96648,1.0,4.0,49.0,121.0,956
4233168.0,-73.95753,0.0,1.0,1.0,0.0,75
6112537.0,-73.94014,0.0,1.0,2.0,0.0,100
2715012.0,-73.93616,1.0,1.0,3.0,364.0,450
186586297.0,-73.98557,0.0,1.0,2.0,0.0,99
5751765.0,-73.94183,0.0,3.0,2.0,0.0,200
231281049.0,-73.98035,0.0,1.0,4.0,346.0,399
154258141.0,-73.91639,0.0,2.0,10.0,352.0,64
7096230.0,-73.97628,1.0,2.0,1.0,0.0,170
59974573.0,-73.87215,1.0,4.0,2.0,60.0,99
15322945.0,-73.92744,0.0,1.0,1.0,365.0,60
22659263.0,-73.94888,1.0,4.0,1.0,96.0,275
257586719.0,-74.00129,0.0,1.0,1.0,90.0,100
207651513.0,-73.94307,0.0,1.0,3.0,75.0,97
32615118.0,-73.98609,0.0,5.0,1.0,331.0,110
31044879.0,-73.92024,0.0,2.0,2.0,188.0,80
9864136.0,-73.91554,0.0,2.0,26.0,302.0,36
229872308.0,-73.91878,0.0,2.0,1.0,18.0,40
162598902.0,-73.95161,0.0,4.0,1.0,0.0,40
137017288.0,-73.79128,0.0,1.0,2.0,37.0,59
15178683.0,-73.95148,0.0,3.0,1.0,0.0,30
